,x1,y1,z1,x2,y2,z2,duration,EfhLength,SlopeLength,RiseHeight,startV_label,endV_label
88,86210.14,36452.42,885.25,86210.14,36452.42,885.25,38.36,474.1154719,133.3234655,10.91,1,1
89,86230.4,36444.86,886.1,86230.4,36444.86,886.1,31.0,474.1154719,117.2215956,10.21,1,1
90,86276.22,36407.81,890.57,86276.22,36407.81,890.57,22.17,315.0409753,75.70800953,7.43,1,1
91,86237.2,36434.15,886.34,86237.2,36434.15,886.34,30.0,423.3088413,101.6434982,9.97,1,1
92,86299.23,36356.2,896.31,86299.23,36356.2,896.31,42.4,683.7052769,170.4735556,15.64,1,1
93,86318.43,36303.73,901.36,86318.43,36303.73,901.36,34.36,460.7360458,115.5914038,10.59,1,1
94,86299.23,36356.2,896.31,86299.23,36356.2,896.31,40.45,683.7052769,175.1511747,17.34,1,1
95,86310.95,36341.05,898.0,86310.95,36341.05,898.0,46.45,665.4525219,153.3010446,13.95,1,1
96,86299.23,36356.2,896.16,86299.23,36356.2,896.16,46.7,683.7052769,170.4883785,15.79,1,1
97,86299.23,36356.2,896.31,86299.23,36356.2,896.31,41.25,683.7052769,174.9931903,15.59,1,1
98,86321.26,36189.78,911.95,86321.26,36189.78,911.95,38.85,415.6816992,102.568779,10.02,1,1
99,86329.84,36187.44,913.65,86329.84,36187.44,913.65,41.44,366.3608952,97.70145668,8.32,1,1
100,86329.84,36187.44,911.9,86329.84,36187.44,911.9,43.33,415.6816992,97.85050421,10.07,1,1
101,86377.12,36269.45,921.97,86377.12,36269.45,921.97,19.22,276.5742551,68.41054305,6.58,1,1
102,86373.96,36337.47,928.55,86373.96,36337.47,928.55,30.2,435.8847921,105.7058187,9.24,1,1
103,86336.44,36435.86,937.79,86336.44,36435.86,937.79,30.68,471.3034358,120.5184946,10.73,1,1
104,86251.79,36517.28,948.52,86251.79,36517.28,948.52,32.56,497.7382735,125.1825262,11.48,1,1
105,86128.08,36525.85,960.0,86128.08,36525.85,960.0,42.37,644.1004375,154.4978081,15.42,1,1
106,85975.23,36510.14,975.42,85975.23,36510.14,975.42,29.97,410.7350132,113.5472855,9.09,1,1
107,85818.47,36353.17,997.04,85818.47,36353.17,997.04,14.0,317.0124558,128.0149092,0.0,0,0
108,85803.54,36310.75,1001.27,85803.54,36310.75,1001.27,18.0,426.5565796,173.1828613,0.0,0,1
109,85803.54,36310.75,1001.27,85803.54,36310.75,1001.27,31.64,411.8504656,117.0579044,9.22,1,1
110,85818.47,36353.17,997.04,85818.47,36353.17,997.04,44.21,606.9526611,163.3606498,13.45,1,1
111,85818.47,36353.17,997.02,85818.47,36353.17,997.02,27.0,606.9526611,163.3624333,13.47,1,1
112,85812.94,36196.66,1010.49,85812.94,36196.66,1010.49,33.59,597.8453273,125.3304121,14.88,1,1
113,85908.87,36117.39,1025.37,85908.87,36117.39,1025.37,38.64,536.3665944,151.0112476,11.58,1,1
